site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
SKCW,SKCW0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
SKDG,SKDG0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
SKDH,SKDH0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
SKDY,SKDY0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
SKGG,SKGG0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
SKGJ,SKGJ0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
SKGS,SKGS0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
SKHJ,SKHJ0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
SKHP,SKHP0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
SKIC,SKIC0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
SKJD,SKJD0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
SKJG,SKJG0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
SKJJ,SKJJ0xKOR,KOR,AP,100.000,2576520,0,16980,brief-failover,2576520,0,28800,2,16804
SKNH,SKNH0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
SKPJ,SKPJ0xKOR,KOR,AP,100.000,2576520,0,16980,brief-failover,2576520,0,14400,1,12657
SKSC,SKSC0xKOR,KOR,AP,100.000,2576520,0,16980,brief-failover,2576520,0,14400,1,12657
SKSN,SKSN0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
SKSS,SKSS0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
SKYD,SKYD0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
SKYG,SKYG0xKOR,KOR,AP,100.000,2576520,0,16980,stable,2576520,0,0,0,
